No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS,JURUSAN AJUAN DINAS
83,Aceh,Kota Lhokseumawe,70003663,SMK IT Pesantren Tabina Aceh,Teknik Mekanik Industri,,,,
84,Aceh,Langsa,10105704,SMK N 1 LANGSA,Akuntansi,Management Perkantoran,,,
85,Aceh,Lhokseumawe,10105625,SMK NEGERI 1 LHOKSEUMAWE,Teknik Komputer dan Jaringan,Rekayasa Perangkat Lunak,Manajemen Perkantoran,,
86,Aceh,Lhokseumawe,10105627,SMK NEGERI 3 LHOKSEUMAWE,Bisnis Digital,Akuntansi,Manajemen Perkantoran,Layanan Perbankan Syariah,
87,Aceh,Lhokseumawe,10105626,SMK NEGERI 2 LHOKSEUMAWE,Desain dan Produksi Busana,,,,
88,Aceh,Lhokseumawe,69758278,SMKN 8 LHOKSEUMAWE,Layanan Penunjang Laboratorium Medik,,,,
89,Aceh,Lhokseumawe,10110769,SMKN 6 Lhokseumawe,Agribisnis Pengolahan Hasil Perikanan,,,,
90,Aceh,Lhokseumawe,10111502,SMK SWASTA MUHAMMADIYAH LHOKSUKON,Manajemen Perkantoran,,,,
91,Aceh,Pidie Jaya,10112855,SMKN 1 BANDAR BARU,Teknik Sepeda Motor,,,,
92,Aceh,Pidie Jaya,10100617,SMK SWASTA MUTIARA,Akuntansi,,,,
93,Aceh,Simeulu,10111935,SMK NEGERI 1 TEUPAH SELATAN,Desain dan Produksi Busana,,,,
94,Aceh,Simeulue,10103347,SMK NEGERI 1 SINABANG,Desain dan Produksi Busana,,,,
95,Aceh,Simeulue,69949251,SMK NEGERI PERIKANAN SIMEULUE BARAT,Agribisnis Perikanan Air Payau dan Laut,,,,
96,Aceh,Simeulue,10111684,SMK Negeri 3 Sinabang,Agribisnis Perikanan Air Payau dan Laut,,,,
97,Sumatera Barat,Kabupaten Pasaman,69754554,SMKN 1 SIMPANG ALAHAN MATI,Teknik Sepeda Motor,Teknik Komputer Jaringan,,,
98,Sumatera Barat,Kabupaten Pasaman Barat,10310878,SMK N 1 RANAH BATAHAN,Pengelasan,Teknik Audio Video ,,,
99,Sumatera Barat,Kabupaten Pasaman Barat,10306135,SMK N 1 SASAK RANAH PASISIE,Agribisnis Perikanan Air Tawar (APAT),Teknik Bisnis Sepeda Motor,,,
100,Sumatera Barat,Kabupaten Pesisir Selatan,10301946,SMKS TEKNOLOGI LENGAYANG,Teknik Sepeda Motor,Teknik Instalasi Tenaga Listrik,,,
108,Sumatera Utara,Kabupaten Langkat,10220646,SMKN 1 TANJUNG PURA,Teknik Kendaraan Ringan,Teknik Sepeda Motor,,,
