no,provinsi,kabupaten,npsn,nama_sekolah,slot_1_csv,slot_1_status,slot_1_kode_kk,slot_1_nama_kk,slot_1_score,slot_2_csv,slot_2_status,slot_2_kode_kk,slot_2_nama_kk,slot_2_score,slot_3_csv,slot_3_status,slot_3_kode_kk,slot_3_nama_kk,slot_3_score,slot_4_csv,slot_4_status,slot_4_kode_kk,slot_4_nama_kk,slot_4_score,slot_5_csv,slot_5_status,slot_5_kode_kk,slot_5_nama_kk,slot_5_score
43,Aceh,Kabupaten Aceh Utara,10108210,SMK NEGERI 1 TANAH JAMBO AYE,TEKNIK AUDIO VIDEO (TAV),DIJADIKAN SESUAI,2.5.1,Teknik Audio Video,93,Desain Komunikasi Visual (DKV),DIJADIKAN SESUAI,10.2.1,Desain Komunikasi Visual,92,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
44,Aceh,Kabupaten Aceh Utara,10108219,SMK NEGERI 1 TANAH LUAS,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Desain Komunikasi Visual,MATCHED EXACT,10.2.1,Desain Komunikasi Visual,100,Pengelasan,DIJADIKAN SESUAI,2.3.1,Teknik Pengelasan,95,,KOSONG,,,0,,KOSONG,,,0
45,Aceh,Kabupaten Aceh Utara,69759159,SMK NEGERI 1 BAKTIYA,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Rekayasa Perangkat Lunak,MATCHED EXACT,4.1.1,Rekayasa Perangkat Lunak,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
46,Aceh,Kabupaten Aceh Utara,10106278,SMK NEGERI 1 MUARA BATU,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Nautika Kapal Penangkap Ikan,MATCHED EXACT,7.2.1,Nautika Kapal Penangkap Ikan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
47,Aceh,Kabupaten Aceh Utara,10108220,SMK NEGERI 1 SYAMTALIRA ARON,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
48,Aceh,Kabupaten Aceh Utara,69726919,SMK SWASTA HUMANIORA,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
49,Aceh,Kabupaten Aceh Utara,70035709,SMK SWASTA ANEUK LAOT,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
50,Aceh,Kabupaten Aceh Utara,70036211,SMK Swasta IT Manahilul Irfan,Kuliner,MATCHED EXACT,9.3.1,Kuliner,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
51,Aceh,Kabupaten Aceh Utara,70006104,SMK SWASTA NURUL YAQIN,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
52,Aceh,Kabupaten Aceh Utara,10108221,SMKS TERPADU AL AZHAR,Teknik Audio Video,MATCHED EXACT,2.5.1,Teknik Audio Video,100,Layanan Penunjang Keperawatan dan cargiving,MATCHED EXACT,5.1.1,Layanan Penunjang Keperawatan dan Caregiving,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
53,Aceh,Kabupaten Aceh Utara,69988419,SMK Al Fhattani,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
54,Aceh,Kabupaten Aceh Utara,69970964,SMKS Kafilul Yatim,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
55,Aceh,Kabupaten Bener Meriah,69972330,SMKN 5 BENER MERIAH,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,Agribisnis Pengolahan Hasil Pertanian,MATCHED EXACT,6.5.1,Agribisnis Pengolahan Hasil Pertanian,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
56,Aceh,Kabupaten Bireuen,10107107,SMK NEGERI 1 JEUNIEB,TEKNIKA KAPAL PENANGKAPAN IKAN ( TKPI),DIJADIKAN SESUAI,7.1.1,Teknika Kapal Penangkap Ikan,76,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
57,Aceh,Kabupaten Bireuen,69945354,SMK SWASTA AL-HIDAYAH,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
58,Aceh,Kabupaten Bireuen,10107109,SMK NEGERI 1 JEUMPA,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
59,Aceh,Kabupaten Bireuen,10103755,SMK Kesehatan Muhammadiyah Bireuen,LAYANAN PENUNJANG KEPERAWATAN DAN CAREGIVING,MATCHED EXACT,5.1.1,Layanan Penunjang Keperawatan dan Caregiving,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
60,Aceh,Kabupaten Bireuen,10113428,SMK-PP NEGERI BIREUEN,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
61,Aceh,Kabupaten Gayo Lues,10104541,SMK NEGERI 1 GAYO LUES,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
62,Aceh,Kabupaten Pidie,10100635,SMK NEGERI 1 SIGLI,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,Kuliner,MATCHED EXACT,9.3.1,Kuliner,100,Desain Komunikasi Visual,MATCHED EXACT,10.2.1,Desain Komunikasi Visual,100,,KOSONG,,,0,,KOSONG,,,0
63,Aceh,Kabupaten Pidie,10100633,SMKS LILAWANGSA SIGLI,farmasi klinis dan komunitas,DIJADIKAN SESUAI,5.3.1,Layanan Penunjang Kefarmasian Klinis dan Komunitas,96,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
64,Aceh,Kabupaten Pidie,69753602,SMK NEGERI MANE,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
65,Aceh,Kabupaten Pidie,10110275,SMK NEGERI 3 SIGLI,Teknik Komputer dan Jaringan,MATCHED EXACT,4.2.1,Teknik Komputer dan Jaringan,100,Desain Komunikasi Visual (DKV),DIJADIKAN SESUAI,10.2.1,Desain Komunikasi Visual,92,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
66,Aceh,Kabupaten Pidie Jaya,10111806,SMK NEGERI 1 BANDAR DUA,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,Tata Busana,DIJADIKAN SESUAI,10.7.1,Desain dan Produksi Busana,96,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
67,Aceh,Kabupaten Pidie Jaya,10112857,SMK NEGERI ULIM,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Ternak Unggas,DIJADIKAN SESUAI,6.2.2,Agribisnis Ternak Unggas,96,,KOSONG,,,0,,KOSONG,,,0
68,Aceh,Kabupaten Pidie Jaya,69972006,SMK BUDI,Teknik Instalasi Tenaga Listrik,MATCHED EXACT,3.1.1,Teknik Instalasi Tenaga Listrik,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
69,Aceh,Kabupaten Pidie Jaya,10112856,SMKN TRIENGGADENG,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,ATP,DIJADIKAN SESUAI,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,94,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
70,Aceh,Kabupaten Pidie Jaya,69950731,SMK UMMUL AYMAN 2,Desain dan Produksi Busana,MATCHED EXACT,10.7.1,Desain dan Produksi Busana,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
71,Aceh,Kabupaten Simeulue,10112509,SMK NEGERI 1 SALANG,AGRIBISNIS TERNAK UNGGAS,MATCHED EXACT,6.2.2,Agribisnis Ternak Unggas,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
72,Aceh,Kabupaten Simeulue,10103348,SMK Negeri 2 Sinabang,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
73,Aceh,Kabupaten Simeulue,10111947,SMK NEGERI 1 TEUPAH TENGAH,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
74,Aceh,Kabupaten Simeulue,69896252,SMK NEGERI 1 SIMEULUE CUT,Agribisnis Tanaman Pangan dan Hortikultura,MATCHED EXACT,6.1.2,Agribisnis Tanaman Pangan dan Hortikultura,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
75,Aceh,Kota Langsa,10105724,SMK NEGERI 2 LANGSA,Teknik Kendaraan Ringan (TKR),DIJADIKAN SESUAI,2.2.1,Teknik Kendaraan Ringan,92,Teknik Elektronika Industri,MATCHED EXACT,2.5.3,Teknik Elektronika Industri,100,TPTU,DIJADIKAN SESUAI,6.2.1,Agribisnis Ternak Ruminansia,92,,KOSONG,,,0,,KOSONG,,,0
76,Aceh,Kota Langsa,10113917,SMK NEGERI 6 LANGSA,Layanan Penunjang Keperawatan dan caregiving,MATCHED EXACT,5.1.1,Layanan Penunjang Keperawatan dan Caregiving,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
77,Aceh,Kota Langsa,10107115,SMK NEGERI 5 LANGSA,Teknik Jaringan Akses Telekomunikasi,MATCHED EXACT,4.2.2,Teknik Jaringan Akses Telekomunikasi,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
78,Aceh,Kota Lhokseumawe,10105628,SMK NEGERI 4 LHOKSEUMAWE,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,"Teknik Energi Surya, Hidro, dan Angin",MATCHED EXACT,3.2.1,"Teknik Energi Surya, Hidro, dan Angin",100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
79,Aceh,Kota Lhokseumawe,10105629,SMKS KARYA BERINGIN,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
80,Aceh,Kota Lhokseumawe,10110714,SMKN 5 LHOKSEUMAWE,Design Pemodelan dan Informasi Bangunan,DIJADIKAN SESUAI,1.1.1,Teknik Perawatan Gedung,91,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
81,Aceh,Kota Lhokseumawe,10111838,SMK NEGERI 7 LHOKSEUMAWE,Teknik Sepeda Motor,MATCHED EXACT,2.2.2,Teknik Sepeda Motor,100,Teknik Kendaraan Ringan,MATCHED EXACT,2.2.1,Teknik Kendaraan Ringan,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
82,Aceh,Kota Lhokseumawe,10110650,SMKS ULUMUDDIN,Desain Komunikasi Visual (DKV),DIJADIKAN SESUAI,10.2.1,Desain Komunikasi Visual,92,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
83,Aceh,Kota Lhokseumawe,70003663,SMK IT Pesantren Tabina Aceh,Teknik Mekanik Industri,MATCHED EXACT,2.1.2,Teknik Mekanik Industri,100,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
84,Aceh,Langsa,10105704,SMK N 1 LANGSA,Akuntansi,MATCHED EXACT,8.3.3,Akuntansi,100,Management Perkantoran,DIJADIKAN SESUAI,8.2.1,Manajemen Perkantoran,85,,KOSONG,,,0,,KOSONG,,,0,,KOSONG,,,0
