No,Provinsi,Kabupaten/Kota,NPSN,Nama Sekolah,Pagu persiapan,Pagu pelatihan,Pagu Alat,Paagu Final
70,Aceh,Kabupaten Pidie Jaya,69950731,SMK UMMUL AYMAN 2,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
71,Aceh,Kabupaten Simeulue,10112509,SMK NEGERI 1 SALANG,"9,160,000","50,000,000","3,550,000,000","3,609,160,000"
72,Aceh,Kabupaten Simeulue,10103348,SMK Negeri 2 Sinabang,"9,160,000","40,000,000","3,160,000,000","3,209,160,000"
73,Aceh,Kabupaten Simeulue,10111947,SMK NEGERI 1 TEUPAH TENGAH,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
74,Aceh,Kabupaten Simeulue,69896252,SMK NEGERI 1 SIMEULUE CUT,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
75,Aceh,Kota Langsa,10105724,SMK NEGERI 2 LANGSA,"9,160,000","100,000,000","9,900,000,000","10,009,160,000"
76,Aceh,Kota Langsa,10113917,SMK NEGERI 6 LANGSA,"9,160,000","50,000,000","3,350,000,000","3,409,160,000"
77,Aceh,Kota Langsa,10107115,SMK NEGERI 5 LANGSA,"9,160,000","40,000,000","3,160,000,000","3,209,160,000"
78,Aceh,Kota Lhokseumawe,10105628,SMK NEGERI 4 LHOKSEUMAWE,"9,160,000","60,000,000","3,940,000,000","4,009,160,000"
79,Aceh,Kota Lhokseumawe,10105629,SMKS KARYA BERINGIN,"9,160,000","40,000,000","3,160,000,000","3,209,160,000"
80,Aceh,Kota Lhokseumawe,10110714,SMKN 5 LHOKSEUMAWE,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
81,Aceh,Kota Lhokseumawe,10111838,SMK NEGERI 7 LHOKSEUMAWE,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
82,Aceh,Kota Lhokseumawe,10110650,SMKS ULUMUDDIN,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
83,Aceh,Kota Lhokseumawe,70003663,SMK IT Pesantren Tabina Aceh,"9,160,000","30,000,000","2,170,000,000","2,209,160,000"
84,Aceh,Langsa,10105704,SMK N 1 LANGSA,"9,160,000","30,000,000","2,170,000,000","2,209,160,000"
85,Aceh,Lhokseumawe,10105625,SMK NEGERI 1 LHOKSEUMAWE,"9,160,000","70,000,000","5,130,000,000","5,209,160,000"
86,Aceh,Lhokseumawe,10105627,SMK NEGERI 3 LHOKSEUMAWE,"9,160,000","40,000,000","2,760,000,000","2,809,160,000"
87,Aceh,Lhokseumawe,10105626,SMK NEGERI 2 LHOKSEUMAWE,"9,160,000","40,000,000","2,760,000,000","2,809,160,000"
88,Aceh,Lhokseumawe,69758278,SMKN 8 LHOKSEUMAWE,"9,160,000","30,000,000","2,570,000,000","2,609,160,000"
89,Aceh,Lhokseumawe,10110769,SMKN 6 Lhokseumawe,"9,160,000","30,000,000","2,170,000,000","2,209,160,000"
90,Aceh,Lhokseumawe,10111502,SMK SWASTA MUHAMMADIYAH LHOKSUKON,"9,160,000","20,000,000","680,000,000","709,160,000"
91,Aceh,Pidie Jaya,10112855,SMKN 1 BANDAR BARU,"9,160,000","20,000,000","1,780,000,000","1,809,160,000"
92,Aceh,Pidie Jaya,10100617,SMK SWASTA MUTIARA,"9,200,000","20,000,000","380,000,000","409,200,000"
93,Aceh,Simeulu,10111935,SMK NEGERI 1 TEUPAH SELATAN,"9,160,000","20,000,000","1,780,000,000","1,809,160,000"
94,Aceh,Simeulue,10103347,SMK NEGERI 1 SINABANG,"9,160,000","40,000,000","2,760,000,000","2,809,160,000"
95,Aceh,Simeulue,69949251,SMK NEGERI PERIKANAN SIMEULUE BARAT,"9,160,000","30,000,000","1,970,000,000","2,009,160,000"
96,Aceh,Simeulue,10111684,SMK Negeri 3 Sinabang,"9,160,000","20,000,000","980,000,000","1,009,160,000"
97,Sumatera Barat,Kabupaten Pasaman,69754554,SMKN 1 SIMPANG ALAHAN MATI,"9,160,000","40,000,000","4,297,000,000","3,209,160,000"
98,Sumatera Barat,Kabupaten Pasaman Barat,10310878,SMK N 1 RANAH BATAHAN,"9,160,000","60,000,000","931,000,000","4,409,160,000"
99,Sumatera Barat,Kabupaten Pasaman Barat,10306135,SMK N 1 SASAK RANAH PASISIE,"9,160,000","60,000,000","5,077,000,000","4,009,160,000"
100,Sumatera Barat,Kabupaten Pesisir Selatan,10301946,SMKS TEKNOLOGI LENGAYANG,"9,160,000","60,000,000","5,475,000,000","4,409,160,000"
127,Sumatera Utara,Kota Medan,69727923,SMK NEGERI 14 MEDAN,"9,160,000","100,000,000","8,500,000,000","8,609,160,000"
107,Sumatera Utara,Kabupaten Langkat,69924677,SMK SWASTA MUHAMMAD YAASIIN SEI LEPAN,"9,160,000","70,000,000","2,930,000,000","3,009,160,000"
108,Sumatera Utara,Kabupaten Langkat,10220646,SMKN 1 TANJUNG PURA,"9,160,000","70,000,000","4,730,000,000","4,809,160,000"
122,Sumatera Utara,Kabupaten Tapanuli Tengah,10260493,SMKN 1 LUMUT,"9,160,000","60,000,000","4,540,000,000","4,609,160,000"
109,Sumatera Utara,Kabupaten Langkat,69953551,SMK SWASTA TAMAN SISWA PADANG TUALANG,"9,160,000","60,000,000","4,340,000,000","4,409,160,000"
110,Sumatera Utara,Kabupaten Langkat,10259372,SMKS SRI LANGKAT,"9,160,000","60,000,000","3,940,000,000","4,009,160,000"
111,Sumatera Utara,Kabupaten Langkat,10220747,SMK SWASTA TAMAN SISWA SAWIT SEBERANG,"9,160,000","60,000,000","3,940,000,000","4,009,160,000"
128,Sumatera Utara,Kota Medan,69727256,SMK Swasta Imelda Medan,"9,160,000","60,000,000","3,940,000,000","4,009,160,000"
123,Sumatera Utara,Kabupaten Tapanuli Tengah,70044057,SMK Negeri 1 Sukabangun,"9,160,000","50,000,000","3,750,000,000","3,809,160,000"
129,Sumatera Utara,Kota Medan,10211209,SMK TI SWASTA BUDI AGUNG MEDAN,"9,160,000","50,000,000","3,750,000,000","3,809,160,000"
120,Sumatera Utara,Kabupaten Mandailing Natal,10208081,SMKN 1 BATANG NATAL,"9,160,000","50,000,000","3,550,000,000","3,609,160,000"
112,Sumatera Utara,Kabupaten Langkat,69956351,SMK SWASTA TARUNA BANGSA,"9,160,000","50,000,000","3,350,000,000","3,409,160,000"
125,Sumatera Utara,Kabupaten Tapanuli Utara,10220604,SMKN 1 PAHAE JULU,"9,160,000","50,000,000","3,350,000,000","3,409,160,000"
113,Sumatera Utara,Kabupaten Langkat,10201068,SMK PERSIAPAN PADANG TUALANG,"9,160,000","40,000,000","3,160,000,000","3,209,160,000"
114,Sumatera Utara,Kabupaten Langkat,10259283,SMKS AL-MA'ARIF,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
124,Sumatera Utara,Kabupaten Tapanuli Tengah,10260526,SMKN 1 BADIRI,"9,160,000","40,000,000","2,960,000,000","3,009,160,000"
115,Sumatera Utara,Kabupaten Langkat,69725097,SMK SWASTA AL HIKMAH,"9,160,000","40,000,000","2,760,000,000","2,809,160,000"
130,Sumatera Utara,Kota Medan,10210765,SMKN 8 MEDAN,"9,160,000","40,000,000","2,760,000,000","2,809,160,000"
116,Sumatera Utara,Kabupaten Langkat,10257578,SMKS AL JAMIYATUL WASHLIYAH,"9,160,000","30,000,000","1,970,000,000","2,009,160,000"
117,Sumatera Utara,Kabupaten Langkat,69956580,SMK SWASTA AL-MAKSUM YAZID,"9,160,000","30,000,000","1,970,000,000","2,009,160,000"
118,Sumatera Utara,Kabupaten Langkat,10259709,SMKS MAJU,"9,160,000","20,000,000","1,480,000,000","1,509,160,000"
20,Sumatera Utara,Kab. Tapanuli Tengah,10206597,SMKS TI MUHAMMADIYAH 11 SIBULUAN,"9,160,000","20,000,000","2,380,000,000","2,409,160,000"
101,Sumatera Utara,Kab. Langkat,10201331,SMKS HARAPAN BABALAN,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
102,Sumatera Utara,Kab. Langkat,10260514,SMKS MUHAMMADIYAH 18 P BERANDAN,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
131,Sumatera Utara,Kota Medan,10211076,SMKS YWKA Medan,"9,160,000","20,000,000","1,380,000,000","1,409,160,000"
21,Sumatera Utara,Kab. Tapanuli Tengah,10260540,SMK NEGERI 1 TAPIAN NAULI,"9,160,000","20,000,000","2,180,000,000","2,209,160,000"
105,Sumatera Utara,Kab. Mandailing Natal,10208082,SMKN 1 NATAL,"9,160,000","20,000,000","1,180,000,000","1,209,160,000"
119,Sumatera Utara,Kabupaten Langkat,10220748,SMKS YPII TANJUNG PURA,"9,160,000","20,000,000","1,180,000,000","1,209,160,000"
106,Sumatera Utara,Kab. Tapanuli Selatan,10220618,SMKN 1 BATANGTORU,"9,160,000","40,000,000","960,000,000","1,009,160,000"
121,Sumatera Utara,Kabupaten Tapanuli Selatan,60725063,SMKN 2 BATANG TORU,"9,160,000","40,000,000","960,000,000","1,009,160,000"
126,Sumatera Utara,Kabupaten Tapanuli Utara,10220208,SMKN LOSIDA SIATAS BARITA,"9,160,000","20,000,000","980,000,000","1,009,160,000"
103,Sumatera Utara,Kab. Langkat,10201070,SMKS PEMBANGUNAN NASIONAL PANGKALAN SUSU,"9,160,000","20,000,000","780,000,000","809,160,000"
104,Sumatera Utara,Kab. Langkat,69937373,SMK SWASTA KESEHATAN RACHMAD INSANI,"9,160,000","20,000,000","580,000,000","609,160,000"
